[ AI-Rank-Log  4/ 8 18: 2: 7.412 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 18:12:59.320 ]sampleid: 000000168619.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 0. 34 ]sampleid: 000000168883.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 0.736 ]sampleid: 000000168974.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 1.443 ]sampleid: 000000169076.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 2.159 ]sampleid: 000000169169.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 2.859 ]sampleid: 000000169356.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 3.569 ]sampleid: 000000169996.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 4.275 ]sampleid: 000000170099.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 5.  0 ]sampleid: 000000170116.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 5.710 ]sampleid: 000000170191.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 6.434 ]sampleid: 000000170278.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 7.158 ]sampleid: 000000170474.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 7.883 ]sampleid: 000000170545.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 8.603 ]sampleid: 000000170595.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13: 9.313 ]sampleid: 000000170613.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:10. 35 ]sampleid: 000000170670.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:10.764 ]sampleid: 000000170739.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:11.483 ]sampleid: 000000170893.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:12.206 ]sampleid: 000000170955.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:12.921 ]sampleid: 000000171050.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:13.644 ]sampleid: 000000171190.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:14.370 ]sampleid: 000000171298.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:15. 95 ]sampleid: 000000171382.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:15.841 ]sampleid: 000000171611.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:16.566 ]sampleid: 000000171740.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:17.287 ]sampleid: 000000171757.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:18.  5 ]sampleid: 000000171788.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:18.721 ]sampleid: 000000172083.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:19.447 ]sampleid: 000000172330.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:20.164 ]sampleid: 000000172396.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:20.870 ]sampleid: 000000172547.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:21.584 ]sampleid: 000000172571.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:22.319 ]sampleid: 000000172595.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:23. 43 ]sampleid: 000000172617.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:23.769 ]sampleid: 000000172648.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:24.483 ]sampleid: 000000172649.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:25.220 ]sampleid: 000000172856.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:25.965 ]sampleid: 000000172877.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:26.682 ]sampleid: 000000172935.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:27.408 ]sampleid: 000000172946.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:28.141 ]sampleid: 000000172977.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:28.867 ]sampleid: 000000173004.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:29.588 ]sampleid: 000000173008.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:30.323 ]sampleid: 000000173033.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:31. 52 ]sampleid: 000000173044.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:31.783 ]sampleid: 000000173057.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:32.524 ]sampleid: 000000173091.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:33.256 ]sampleid: 000000173183.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:34.  6 ]sampleid: 000000173302.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:34.737 ]sampleid: 000000173371.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:35.482 ]sampleid: 000000173383.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:36.223 ]sampleid: 000000173799.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:36.965 ]sampleid: 000000173830.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:37.706 ]sampleid: 000000174004.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:38.443 ]sampleid: 000000174018.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:39.167 ]sampleid: 000000174123.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:39.900 ]sampleid: 000000174231.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:40.660 ]sampleid: 000000174371.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:41.416 ]sampleid: 000000174482.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:42.178 ]sampleid: 000000175251.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:42.929 ]sampleid: 000000175364.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:43.651 ]sampleid: 000000175387.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:44.401 ]sampleid: 000000175438.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:45.150 ]sampleid: 000000175443.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:45.875 ]sampleid: 000000175535.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:46.609 ]sampleid: 000000176037.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:47.341 ]sampleid: 000000176232.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:48. 92 ]sampleid: 000000176446.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:48.854 ]sampleid: 000000176606.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:49.593 ]sampleid: 000000176634.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:50.359 ]sampleid: 000000176701.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:51. 98 ]sampleid: 000000176778.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:51.849 ]sampleid: 000000176799.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:52.600 ]sampleid: 000000176847.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:53.339 ]sampleid: 000000176857.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:54. 91 ]sampleid: 000000176901.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:54.829 ]sampleid: 000000177015.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:55.597 ]sampleid: 000000177065.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:56.345 ]sampleid: 000000177213.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:57. 98 ]sampleid: 000000177357.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:57.842 ]sampleid: 000000177383.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:58.587 ]sampleid: 000000177489.jpg, result=true
[ AI-Rank-Log  4/ 8 18:13:59.344 ]sampleid: 000000177539.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 0.103 ]sampleid: 000000177714.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 0.881 ]sampleid: 000000177861.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 1.628 ]sampleid: 000000177893.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 2.393 ]sampleid: 000000177934.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 3.155 ]sampleid: 000000177935.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 3.891 ]sampleid: 000000178028.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 4.651 ]sampleid: 000000178469.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 5.368 ]sampleid: 000000178618.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 6.135 ]sampleid: 000000178744.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 6.884 ]sampleid: 000000178982.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 7.637 ]sampleid: 000000179112.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 8.394 ]sampleid: 000000179141.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 9.152 ]sampleid: 000000179174.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14: 9.900 ]sampleid: 000000179214.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:10.671 ]sampleid: 000000179265.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:11.428 ]sampleid: 000000179285.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:12.194 ]sampleid: 000000179392.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:12.963 ]sampleid: 000000179487.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:13.718 ]sampleid: 000000179642.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:14.486 ]sampleid: 000000179653.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:15.251 ]sampleid: 000000179765.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:16.  4 ]sampleid: 000000179898.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:16.760 ]sampleid: 000000180011.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:17.524 ]sampleid: 000000180101.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:18.267 ]sampleid: 000000180135.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:19. 43 ]sampleid: 000000180188.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:19.799 ]sampleid: 000000180296.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:20.565 ]sampleid: 000000180383.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:21.319 ]sampleid: 000000180487.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:22. 79 ]sampleid: 000000180560.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:22.845 ]sampleid: 000000180751.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:23.604 ]sampleid: 000000180792.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:24.358 ]sampleid: 000000180798.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:25.125 ]sampleid: 000000180878.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:25.880 ]sampleid: 000000181303.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:26.645 ]sampleid: 000000181421.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:27.409 ]sampleid: 000000181499.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:28.174 ]sampleid: 000000181542.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:28.955 ]sampleid: 000000181666.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:29.721 ]sampleid: 000000181753.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:30.479 ]sampleid: 000000181796.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:31.256 ]sampleid: 000000181816.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:32. 31 ]sampleid: 000000181859.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:32.813 ]sampleid: 000000181969.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:33.597 ]sampleid: 000000182021.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:34.365 ]sampleid: 000000182155.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:35.127 ]sampleid: 000000182162.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:35.898 ]sampleid: 000000182202.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:36.676 ]sampleid: 000000182417.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:37.449 ]sampleid: 000000182441.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:38.219 ]sampleid: 000000182611.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:38.999 ]sampleid: 000000182805.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:39.757 ]sampleid: 000000182923.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:40.529 ]sampleid: 000000183049.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:41.290 ]sampleid: 000000183104.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:42. 58 ]sampleid: 000000183127.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:42.843 ]sampleid: 000000183246.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:43.636 ]sampleid: 000000183391.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:44.411 ]sampleid: 000000183437.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:45.171 ]sampleid: 000000183500.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:45.949 ]sampleid: 000000183648.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:46.738 ]sampleid: 000000183675.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:47.526 ]sampleid: 000000183709.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:48.290 ]sampleid: 000000183716.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:49. 54 ]sampleid: 000000183965.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:49.844 ]sampleid: 000000184321.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:50.612 ]sampleid: 000000184324.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:51.391 ]sampleid: 000000184338.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:52.180 ]sampleid: 000000184384.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:52.970 ]sampleid: 000000184400.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:53.744 ]sampleid: 000000184611.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:54.523 ]sampleid: 000000184762.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:55.301 ]sampleid: 000000184791.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:56. 97 ]sampleid: 000000184978.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:56.890 ]sampleid: 000000185157.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:57.661 ]sampleid: 000000185250.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:58.450 ]sampleid: 000000185292.jpg, result=true
[ AI-Rank-Log  4/ 8 18:14:59.223 ]sampleid: 000000185409.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 0. 20 ]sampleid: 000000185472.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 0.805 ]sampleid: 000000185473.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 1.582 ]sampleid: 000000185599.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 2.376 ]sampleid: 000000185802.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 3.181 ]sampleid: 000000185890.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 3.968 ]sampleid: 000000185950.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 4.743 ]sampleid: 000000186042.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 5.544 ]sampleid: 000000186282.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 6.342 ]sampleid: 000000186296.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 7.138 ]sampleid: 000000186345.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 7.935 ]sampleid: 000000186422.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 8.732 ]sampleid: 000000186449.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15: 9.539 ]sampleid: 000000186624.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:10.339 ]sampleid: 000000186632.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:11.146 ]sampleid: 000000186637.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:11.951 ]sampleid: 000000186873.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:12.722 ]sampleid: 000000186929.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:13.513 ]sampleid: 000000186938.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:14.315 ]sampleid: 000000186980.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:15.115 ]sampleid: 000000187055.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:15.909 ]sampleid: 000000187144.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:16.697 ]sampleid: 000000187236.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:17.500 ]sampleid: 000000187243.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:18.307 ]sampleid: 000000187249.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:19.103 ]sampleid: 000000187271.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:19.887 ]sampleid: 000000187362.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:20.686 ]sampleid: 000000187513.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:21.477 ]sampleid: 000000187585.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:22.272 ]sampleid: 000000187734.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:23. 75 ]sampleid: 000000187745.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:23.860 ]sampleid: 000000187990.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:24.676 ]sampleid: 000000188296.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:25.484 ]sampleid: 000000188439.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:26.279 ]sampleid: 000000188465.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:27. 81 ]sampleid: 000000188592.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:27.864 ]sampleid: 000000188689.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:28.659 ]sampleid: 000000188906.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:29.449 ]sampleid: 000000189078.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:30.229 ]sampleid: 000000189213.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:31. 30 ]sampleid: 000000189226.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:31.832 ]sampleid: 000000189310.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:32.630 ]sampleid: 000000189436.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:33.431 ]sampleid: 000000189451.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:34.224 ]sampleid: 000000189475.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:35. 31 ]sampleid: 000000189698.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:35.843 ]sampleid: 000000189752.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:36.650 ]sampleid: 000000189775.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:37.443 ]sampleid: 000000189806.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:38.243 ]sampleid: 000000189820.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:39. 50 ]sampleid: 000000189828.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:39.842 ]sampleid: 000000190007.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:40.650 ]sampleid: 000000190140.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:41.447 ]sampleid: 000000190236.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:42.255 ]sampleid: 000000190307.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:43. 69 ]sampleid: 000000190637.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:43.884 ]sampleid: 000000190648.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:44.681 ]sampleid: 000000190676.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:45.487 ]sampleid: 000000190753.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:46.282 ]sampleid: 000000190756.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:47. 96 ]sampleid: 000000190841.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:47.915 ]sampleid: 000000190853.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:48.715 ]sampleid: 000000190923.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:49.531 ]sampleid: 000000191013.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:50.336 ]sampleid: 000000191288.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:51.165 ]sampleid: 000000191471.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:51.966 ]sampleid: 000000191580.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:52.770 ]sampleid: 000000191614.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:53.575 ]sampleid: 000000191672.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:54.397 ]sampleid: 000000191761.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:55.208 ]sampleid: 000000191845.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:56.  4 ]sampleid: 000000192047.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:56.811 ]sampleid: 000000192191.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:57.622 ]sampleid: 000000192607.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:58.456 ]sampleid: 000000192670.jpg, result=true
[ AI-Rank-Log  4/ 8 18:15:59.285 ]sampleid: 000000192699.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 0.101 ]sampleid: 000000192716.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 0.914 ]sampleid: 000000192871.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 1.736 ]sampleid: 000000192904.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 2.564 ]sampleid: 000000192964.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 3.380 ]sampleid: 000000193162.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 4.209 ]sampleid: 000000193181.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 5.  7 ]sampleid: 000000193245.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 5.807 ]sampleid: 000000193348.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 6.626 ]sampleid: 000000193429.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 7.455 ]sampleid: 000000193494.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 8.291 ]sampleid: 000000193674.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 9.104 ]sampleid: 000000193717.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16: 9.924 ]sampleid: 000000193743.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:10.746 ]sampleid: 000000193884.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:11.571 ]sampleid: 000000193926.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:12.405 ]sampleid: 000000194216.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:13.222 ]sampleid: 000000194471.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:14. 55 ]sampleid: 000000194506.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:14.890 ]sampleid: 000000194716.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:15.697 ]sampleid: 000000194724.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:16.520 ]sampleid: 000000194746.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:17.328 ]sampleid: 000000194832.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:18.150 ]sampleid: 000000194875.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:18.970 ]sampleid: 000000194940.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:19.792 ]sampleid: 000000195045.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:20.634 ]sampleid: 000000195165.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:21.468 ]sampleid: 000000195754.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:22.302 ]sampleid: 000000195842.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:23.141 ]sampleid: 000000195918.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:23.977 ]sampleid: 000000196009.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:24.821 ]sampleid: 000000196141.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:25.661 ]sampleid: 000000196185.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:26.498 ]sampleid: 000000196442.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:27.330 ]sampleid: 000000196754.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:28.150 ]sampleid: 000000196759.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:28.996 ]sampleid: 000000196843.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:29.815 ]sampleid: 000000197004.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:30.662 ]sampleid: 000000197022.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:31.491 ]sampleid: 000000197388.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:32.326 ]sampleid: 000000197528.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:33.159 ]sampleid: 000000197658.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:33.984 ]sampleid: 000000197796.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:34.818 ]sampleid: 000000197870.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:35.662 ]sampleid: 000000198489.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:36.513 ]sampleid: 000000198510.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:37.354 ]sampleid: 000000198641.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:38.189 ]sampleid: 000000198805.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:39. 17 ]sampleid: 000000198915.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:39.865 ]sampleid: 000000198928.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:40.710 ]sampleid: 000000198960.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:41.556 ]sampleid: 000000199055.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:42.395 ]sampleid: 000000199236.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:43.233 ]sampleid: 000000199310.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:44. 73 ]sampleid: 000000199395.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:44.883 ]sampleid: 000000199442.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:45.694 ]sampleid: 000000199551.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:46.544 ]sampleid: 000000199681.jpg, result=true
[ AI-Rank-Log  4/ 8 18:16:47.396 ]sampleid: 000000199771.jpg, result=true
