[ AI-Rank-Log  4/ 7 14:29:16.191 ]load_data, checksum: 442b8da7639aecaf257c1dceb8ba8c8
[ AI-Rank-Log  4/ 7 14:33:15.112 ]sampleid: 000000150265.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:15.421 ]sampleid: 000000150417.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:15.724 ]sampleid: 000000150638.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:16. 25 ]sampleid: 000000150649.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:16.338 ]sampleid: 000000150726.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:16.639 ]sampleid: 000000150930.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:16.943 ]sampleid: 000000151000.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:17.249 ]sampleid: 000000151051.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:17.557 ]sampleid: 000000151480.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:17.862 ]sampleid: 000000151516.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:18.171 ]sampleid: 000000151629.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:18.476 ]sampleid: 000000151657.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:18.791 ]sampleid: 000000151662.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:19.101 ]sampleid: 000000151820.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:19.411 ]sampleid: 000000151857.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:19.718 ]sampleid: 000000151938.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:20. 31 ]sampleid: 000000151962.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:20.338 ]sampleid: 000000152120.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:20.652 ]sampleid: 000000152214.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:20.964 ]sampleid: 000000152465.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:21.276 ]sampleid: 000000152686.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:21.590 ]sampleid: 000000152740.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:21.902 ]sampleid: 000000152771.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:22.217 ]sampleid: 000000152870.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:22.527 ]sampleid: 000000153011.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:22.832 ]sampleid: 000000153217.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:23.144 ]sampleid: 000000153229.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:23.456 ]sampleid: 000000153299.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:23.766 ]sampleid: 000000153343.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:24. 81 ]sampleid: 000000153510.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:24.392 ]sampleid: 000000153527.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:24.710 ]sampleid: 000000153529.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:25. 17 ]sampleid: 000000153568.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:25.321 ]sampleid: 000000153632.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:25.638 ]sampleid: 000000153669.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:25.952 ]sampleid: 000000153782.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:26.259 ]sampleid: 000000153797.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:26.573 ]sampleid: 000000154000.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:26.887 ]sampleid: 000000154004.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:27.202 ]sampleid: 000000154087.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:27.515 ]sampleid: 000000154213.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:27.823 ]sampleid: 000000154339.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:28.136 ]sampleid: 000000154358.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:28.448 ]sampleid: 000000154425.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:28.758 ]sampleid: 000000154431.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:29. 69 ]sampleid: 000000154644.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:29.379 ]sampleid: 000000154705.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:29.691 ]sampleid: 000000154718.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:30.  9 ]sampleid: 000000154947.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:30.323 ]sampleid: 000000155051.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:30.636 ]sampleid: 000000155145.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:30.949 ]sampleid: 000000155154.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:31.262 ]sampleid: 000000155179.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:31.579 ]sampleid: 000000155291.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:31.898 ]sampleid: 000000155341.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:32.219 ]sampleid: 000000155443.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:32.537 ]sampleid: 000000155451.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:32.856 ]sampleid: 000000155571.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:33.177 ]sampleid: 000000156071.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:33.500 ]sampleid: 000000156076.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:33.819 ]sampleid: 000000156278.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:34.141 ]sampleid: 000000156292.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:34.457 ]sampleid: 000000156372.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:34.780 ]sampleid: 000000156643.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:35. 94 ]sampleid: 000000156924.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:35.409 ]sampleid: 000000157046.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:35.725 ]sampleid: 000000157098.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:36. 44 ]sampleid: 000000157124.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:36.357 ]sampleid: 000000157138.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:36.680 ]sampleid: 000000157213.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:36.998 ]sampleid: 000000157365.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:37.320 ]sampleid: 000000157390.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:37.643 ]sampleid: 000000157418.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:37.960 ]sampleid: 000000157601.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:38.280 ]sampleid: 000000157756.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:38.604 ]sampleid: 000000157767.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:38.924 ]sampleid: 000000157807.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:39.249 ]sampleid: 000000157847.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:39.576 ]sampleid: 000000157928.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:39.893 ]sampleid: 000000158227.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:40.221 ]sampleid: 000000158548.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:40.541 ]sampleid: 000000158660.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:40.863 ]sampleid: 000000158744.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:41.188 ]sampleid: 000000158945.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:41.512 ]sampleid: 000000158956.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:41.836 ]sampleid: 000000159112.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:42.159 ]sampleid: 000000159282.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:42.476 ]sampleid: 000000159311.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:42.800 ]sampleid: 000000159399.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:43.131 ]sampleid: 000000159458.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:43.453 ]sampleid: 000000159684.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:43.776 ]sampleid: 000000159791.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:44.100 ]sampleid: 000000159977.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:44.424 ]sampleid: 000000160012.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:44.751 ]sampleid: 000000160556.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:45. 73 ]sampleid: 000000160666.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:45.400 ]sampleid: 000000160728.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:45.723 ]sampleid: 000000160772.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:46. 41 ]sampleid: 000000160864.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:46.371 ]sampleid: 000000161008.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:46.701 ]sampleid: 000000161032.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:47. 19 ]sampleid: 000000161044.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:47.341 ]sampleid: 000000161128.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:47.674 ]sampleid: 000000161397.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:48.  1 ]sampleid: 000000161609.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:48.332 ]sampleid: 000000161642.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:48.657 ]sampleid: 000000161781.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:48.984 ]sampleid: 000000161799.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:49.316 ]sampleid: 000000161820.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:49.637 ]sampleid: 000000161861.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:49.974 ]sampleid: 000000161875.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:50.306 ]sampleid: 000000161879.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:50.637 ]sampleid: 000000161925.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:50.965 ]sampleid: 000000161978.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:51.291 ]sampleid: 000000162035.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:51.623 ]sampleid: 000000162092.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:51.953 ]sampleid: 000000162130.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:52.283 ]sampleid: 000000162366.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:52.616 ]sampleid: 000000162415.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:52.943 ]sampleid: 000000162543.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:53.273 ]sampleid: 000000162581.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:53.609 ]sampleid: 000000162732.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:53.941 ]sampleid: 000000162858.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:54.273 ]sampleid: 000000163057.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:54.601 ]sampleid: 000000163117.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:54.932 ]sampleid: 000000163118.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:55.262 ]sampleid: 000000163155.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:55.590 ]sampleid: 000000163257.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:55.921 ]sampleid: 000000163258.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:56.257 ]sampleid: 000000163290.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:56.579 ]sampleid: 000000163314.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:56.901 ]sampleid: 000000163562.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:57.239 ]sampleid: 000000163611.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:57.576 ]sampleid: 000000163640.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:57.909 ]sampleid: 000000163682.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:58.243 ]sampleid: 000000163746.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:58.572 ]sampleid: 000000163951.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:58.908 ]sampleid: 000000164115.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:59.244 ]sampleid: 000000164363.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:59.574 ]sampleid: 000000164602.jpg, result=true
[ AI-Rank-Log  4/ 7 14:33:59.912 ]sampleid: 000000164637.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 0.241 ]sampleid: 000000164883.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 0.573 ]sampleid: 000000164885.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 0.910 ]sampleid: 000000164969.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 1.244 ]sampleid: 000000165039.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 1.576 ]sampleid: 000000165257.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 1.912 ]sampleid: 000000165336.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 2.243 ]sampleid: 000000165351.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 2.582 ]sampleid: 000000165500.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 2.916 ]sampleid: 000000165518.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 3.256 ]sampleid: 000000165681.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 3.590 ]sampleid: 000000165713.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 3.923 ]sampleid: 000000165831.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 4.259 ]sampleid: 000000166165.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 4.590 ]sampleid: 000000166166.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 4.921 ]sampleid: 000000166259.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 5.260 ]sampleid: 000000166277.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 5.598 ]sampleid: 000000166287.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 5.935 ]sampleid: 000000166391.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 6.273 ]sampleid: 000000166426.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 6.614 ]sampleid: 000000166478.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 6.952 ]sampleid: 000000166509.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 7.282 ]sampleid: 000000166521.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 7.616 ]sampleid: 000000166563.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 7.960 ]sampleid: 000000166642.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 8.298 ]sampleid: 000000166664.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 8.633 ]sampleid: 000000166747.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 8.970 ]sampleid: 000000166768.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 9.312 ]sampleid: 000000166918.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 9.653 ]sampleid: 000000167067.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34: 9.993 ]sampleid: 000000167122.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:10.333 ]sampleid: 000000167128.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:10.665 ]sampleid: 000000167159.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:11.  3 ]sampleid: 000000167240.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:11.343 ]sampleid: 000000167353.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:11.683 ]sampleid: 000000167486.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:12. 24 ]sampleid: 000000167540.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:12.366 ]sampleid: 000000167572.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:12.706 ]sampleid: 000000167898.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:13. 43 ]sampleid: 000000167902.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:13.384 ]sampleid: 000000168330.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:13.727 ]sampleid: 000000168337.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:14. 64 ]sampleid: 000000168458.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:14.406 ]sampleid: 000000168593.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:14.748 ]sampleid: 000000168619.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:15. 92 ]sampleid: 000000168883.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:15.426 ]sampleid: 000000168974.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:15.763 ]sampleid: 000000169076.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:16.108 ]sampleid: 000000169169.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:16.453 ]sampleid: 000000169356.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:16.800 ]sampleid: 000000169996.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:17.140 ]sampleid: 000000170099.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:17.485 ]sampleid: 000000170116.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:17.829 ]sampleid: 000000170191.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:18.178 ]sampleid: 000000170278.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:18.526 ]sampleid: 000000170474.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:18.871 ]sampleid: 000000170545.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:19.219 ]sampleid: 000000170595.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:19.563 ]sampleid: 000000170613.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:19.916 ]sampleid: 000000170670.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:20.265 ]sampleid: 000000170739.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:20.610 ]sampleid: 000000170893.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:20.956 ]sampleid: 000000170955.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:21.306 ]sampleid: 000000171050.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:21.659 ]sampleid: 000000171190.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:22. 13 ]sampleid: 000000171298.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:22.362 ]sampleid: 000000171382.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:22.710 ]sampleid: 000000171611.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:23. 60 ]sampleid: 000000171740.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:23.411 ]sampleid: 000000171757.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:23.760 ]sampleid: 000000171788.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:24.105 ]sampleid: 000000172083.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:24.460 ]sampleid: 000000172330.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:24.808 ]sampleid: 000000172396.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:25.164 ]sampleid: 000000172547.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:25.519 ]sampleid: 000000172571.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:25.865 ]sampleid: 000000172595.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:26.219 ]sampleid: 000000172617.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:26.578 ]sampleid: 000000172648.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:26.930 ]sampleid: 000000172649.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:27.283 ]sampleid: 000000172856.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:27.635 ]sampleid: 000000172877.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:27.985 ]sampleid: 000000172935.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:28.339 ]sampleid: 000000172946.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:28.701 ]sampleid: 000000172977.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:29. 60 ]sampleid: 000000173004.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:29.409 ]sampleid: 000000173008.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:29.766 ]sampleid: 000000173033.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:30.120 ]sampleid: 000000173044.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:30.481 ]sampleid: 000000173057.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:30.836 ]sampleid: 000000173091.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:31.191 ]sampleid: 000000173183.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:31.547 ]sampleid: 000000173302.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:31.904 ]sampleid: 000000173371.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:32.261 ]sampleid: 000000173383.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:32.627 ]sampleid: 000000173799.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:32.984 ]sampleid: 000000173830.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:33.349 ]sampleid: 000000174004.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:33.703 ]sampleid: 000000174018.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:34. 60 ]sampleid: 000000174123.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:34.416 ]sampleid: 000000174231.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:34.781 ]sampleid: 000000174371.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:35.143 ]sampleid: 000000174482.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:35.504 ]sampleid: 000000175251.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:35.860 ]sampleid: 000000175364.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:36.215 ]sampleid: 000000175387.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:36.582 ]sampleid: 000000175438.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:36.946 ]sampleid: 000000175443.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:37.304 ]sampleid: 000000175535.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:37.669 ]sampleid: 000000176037.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:38. 30 ]sampleid: 000000176232.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:38.393 ]sampleid: 000000176446.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:38.760 ]sampleid: 000000176606.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:39.120 ]sampleid: 000000176634.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:39.484 ]sampleid: 000000176701.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:39.845 ]sampleid: 000000176778.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:40.201 ]sampleid: 000000176799.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:40.565 ]sampleid: 000000176847.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:40.920 ]sampleid: 000000176857.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:41.276 ]sampleid: 000000176901.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:41.641 ]sampleid: 000000177015.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:42.  5 ]sampleid: 000000177065.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:42.366 ]sampleid: 000000177213.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:42.727 ]sampleid: 000000177357.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:43. 85 ]sampleid: 000000177383.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:43.449 ]sampleid: 000000177489.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:43.810 ]sampleid: 000000177539.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:44.172 ]sampleid: 000000177714.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:44.540 ]sampleid: 000000177861.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:44.900 ]sampleid: 000000177893.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:45.262 ]sampleid: 000000177934.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:45.625 ]sampleid: 000000177935.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:45.982 ]sampleid: 000000178028.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:46.347 ]sampleid: 000000178469.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:46.706 ]sampleid: 000000178618.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:47. 65 ]sampleid: 000000178744.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:47.427 ]sampleid: 000000178982.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:47.783 ]sampleid: 000000179112.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:48.149 ]sampleid: 000000179141.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:48.520 ]sampleid: 000000179174.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:48.887 ]sampleid: 000000179214.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:49.257 ]sampleid: 000000179265.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:49.623 ]sampleid: 000000179285.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:49.988 ]sampleid: 000000179392.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:50.357 ]sampleid: 000000179487.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:50.724 ]sampleid: 000000179642.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:51. 91 ]sampleid: 000000179653.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:51.461 ]sampleid: 000000179765.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:51.826 ]sampleid: 000000179898.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:52.199 ]sampleid: 000000180011.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:52.568 ]sampleid: 000000180101.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:52.926 ]sampleid: 000000180135.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:53.295 ]sampleid: 000000180188.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:53.660 ]sampleid: 000000180296.jpg, result=true
[ AI-Rank-Log  4/ 7 14:34:54. 28 ]sampleid: 000000180383.jpg, result=true
