AI-Rank-log 1617000154.2617233 load_data, checksum:xxx
AI-Rank-log 1617000198.8230555 total_accuracy:0.03943217918276787, total_samples_cnt:10144
AI-Rank-log 1617000198.9693093 total_accuracy:0.039308175444602966, total_samples_cnt:10176
AI-Rank-log 1617000199.057544 total_accuracy:0.03918495029211044, total_samples_cnt:10208
AI-Rank-log 1617000199.1934564 total_accuracy:0.0390625, total_samples_cnt:10240
AI-Rank-log 1617000199.2819328 total_accuracy:0.03894080966711044, total_samples_cnt:10272
AI-Rank-log 1617000199.4412723 total_accuracy:0.038819875568151474, total_samples_cnt:10304
AI-Rank-log 1617000199.528232 total_accuracy:0.038699690252542496, total_samples_cnt:10336
AI-Rank-log 1617000199.7152996 total_accuracy:0.03858024626970291, total_samples_cnt:10368
AI-Rank-log 1617000199.8034422 total_accuracy:0.03846153989434242, total_samples_cnt:10400
AI-Rank-log 1617000199.9444747 total_accuracy:0.038343556225299835, total_samples_cnt:10432
AI-Rank-log 1617000200.0327528 total_accuracy:0.038226302713155746, total_samples_cnt:10464
AI-Rank-log 1617000200.1910288 total_accuracy:0.03810975328087807, total_samples_cnt:10496
AI-Rank-log 1617000200.295382 total_accuracy:0.03799392282962799, total_samples_cnt:10528
AI-Rank-log 1617000200.5706697 total_accuracy:0.03787878528237343, total_samples_cnt:10560
AI-Rank-log 1617000200.6593037 total_accuracy:0.037764351814985275, total_samples_cnt:10592
AI-Rank-log 1617000200.8558154 total_accuracy:0.03765060007572174, total_samples_cnt:10624
AI-Rank-log 1617000200.944202 total_accuracy:0.03753753751516342, total_samples_cnt:10656
AI-Rank-log 1617000201.115012 total_accuracy:0.03742515295743942, total_samples_cnt:10688
AI-Rank-log 1617000201.2033825 total_accuracy:0.03731343150138855, total_samples_cnt:10720
AI-Rank-log 1617000201.42313 total_accuracy:0.0372023805975914, total_samples_cnt:10752
AI-Rank-log 1617000201.5116646 total_accuracy:0.03709198907017708, total_samples_cnt:10784
AI-Rank-log 1617000201.667877 total_accuracy:0.03698224946856499, total_samples_cnt:10816
AI-Rank-log 1617000201.7556312 total_accuracy:0.03687315434217453, total_samples_cnt:10848
AI-Rank-log 1617000201.9081633 total_accuracy:0.036764707416296005, total_samples_cnt:10880
AI-Rank-log 1617000201.9963124 total_accuracy:0.03665689006447792, total_samples_cnt:10912
AI-Rank-log 1617000202.1778882 total_accuracy:0.03654970973730087, total_samples_cnt:10944
AI-Rank-log 1617000202.265667 total_accuracy:0.03644315153360367, total_samples_cnt:10976
AI-Rank-log 1617000202.4118657 total_accuracy:0.03633720800280571, total_samples_cnt:11008
AI-Rank-log 1617000202.5002024 total_accuracy:0.036231886595487595, total_samples_cnt:11040
AI-Rank-log 1617000202.6867933 total_accuracy:0.03612716495990753, total_samples_cnt:11072
AI-Rank-log 1617000202.7745411 total_accuracy:0.03602305427193642, total_samples_cnt:11104
AI-Rank-log 1617000202.9168906 total_accuracy:0.035919539630413055, total_samples_cnt:11136
AI-Rank-log 1617000203.00502 total_accuracy:0.03581662103533745, total_samples_cnt:11168
AI-Rank-log 1617000203.1456025 total_accuracy:0.0357142835855484, total_samples_cnt:11200
AI-Rank-log 1617000203.2339923 total_accuracy:0.03561253473162651, total_samples_cnt:11232
AI-Rank-log 1617000203.3863065 total_accuracy:0.03551136329770088, total_samples_cnt:11264
AI-Rank-log 1617000203.474185 total_accuracy:0.035410765558481216, total_samples_cnt:11296
AI-Rank-log 1617000203.5943093 total_accuracy:0.03531073406338692, total_samples_cnt:11328
AI-Rank-log 1617000203.6824863 total_accuracy:0.035211265087127686, total_samples_cnt:11360
AI-Rank-log 1617000203.8242111 total_accuracy:0.03511235862970352, total_samples_cnt:11392
AI-Rank-log 1617000203.928931 total_accuracy:0.03501400724053383, total_samples_cnt:11424
AI-Rank-log 1617000204.1135206 total_accuracy:0.03491619974374771, total_samples_cnt:11456
AI-Rank-log 1617000204.2014487 total_accuracy:0.03481893986463547, total_samples_cnt:11488
AI-Rank-log 1617000204.344193 total_accuracy:0.0347222238779068, total_samples_cnt:11520
AI-Rank-log 1617000204.4318366 total_accuracy:0.03462603688240051, total_samples_cnt:11552
AI-Rank-log 1617000204.597167 total_accuracy:0.034530386328697205, total_samples_cnt:11584
AI-Rank-log 1617000204.6856105 total_accuracy:0.03443526104092598, total_samples_cnt:11616
AI-Rank-log 1617000204.8607967 total_accuracy:0.03434066101908684, total_samples_cnt:11648
AI-Rank-log 1617000204.9481204 total_accuracy:0.034246575087308884, total_samples_cnt:11680
AI-Rank-log 1617000205.1131089 total_accuracy:0.03415300324559212, total_samples_cnt:11712
AI-Rank-log 1617000205.2019172 total_accuracy:0.03405994549393654, total_samples_cnt:11744
AI-Rank-log 1617000205.3739486 total_accuracy:0.03396739065647125, total_samples_cnt:11776
AI-Rank-log 1617000205.461736 total_accuracy:0.03387533873319626, total_samples_cnt:11808
AI-Rank-log 1617000205.6258569 total_accuracy:0.03378378599882126, total_samples_cnt:11840
AI-Rank-log 1617000205.714101 total_accuracy:0.03369272127747536, total_samples_cnt:11872
AI-Rank-log 1617000205.858986 total_accuracy:0.03360215201973915, total_samples_cnt:11904
AI-Rank-log 1617000205.946348 total_accuracy:0.033512067049741745, total_samples_cnt:11936
AI-Rank-log 1617000206.1116602 total_accuracy:0.03342245891690254, total_samples_cnt:11968
AI-Rank-log 1617000206.2001326 total_accuracy:0.03333333134651184, total_samples_cnt:12000
AI-Rank-log 1617000206.3651755 total_accuracy:0.03324468061327934, total_samples_cnt:12032
AI-Rank-log 1617000206.4532757 total_accuracy:0.03315649926662445, total_samples_cnt:12064
AI-Rank-log 1617000206.6107976 total_accuracy:0.033068783581256866, total_samples_cnt:12096
AI-Rank-log 1617000206.6979234 total_accuracy:0.03298152983188629, total_samples_cnt:12128
AI-Rank-log 1617000206.8597984 total_accuracy:0.032894738018512726, total_samples_cnt:12160
AI-Rank-log 1617000206.947985 total_accuracy:0.03280840069055557, total_samples_cnt:12192
AI-Rank-log 1617000207.112039 total_accuracy:0.03272251412272453, total_samples_cnt:12224
AI-Rank-log 1617000207.1990516 total_accuracy:0.03263707458972931, total_samples_cnt:12256
AI-Rank-log 1617000207.3427868 total_accuracy:0.0325520858168602, total_samples_cnt:12288
AI-Rank-log 1617000207.430802 total_accuracy:0.03246753290295601, total_samples_cnt:12320
AI-Rank-log 1617000207.5898774 total_accuracy:0.03238341957330704, total_samples_cnt:12352
AI-Rank-log 1617000207.6777377 total_accuracy:0.032299742102622986, total_samples_cnt:12384
AI-Rank-log 1617000207.8374867 total_accuracy:0.03221649304032326, total_samples_cnt:12416
AI-Rank-log 1617000207.925639 total_accuracy:0.03213367611169815, total_samples_cnt:12448
AI-Rank-log 1617000208.0831075 total_accuracy:0.03205128386616707, total_samples_cnt:12480
AI-Rank-log 1617000208.1708734 total_accuracy:0.031969308853149414, total_samples_cnt:12512
AI-Rank-log 1617000208.3281999 total_accuracy:0.031887754797935486, total_samples_cnt:12544
AI-Rank-log 1617000208.416605 total_accuracy:0.03180661424994469, total_samples_cnt:12576
AI-Rank-log 1617000208.557288 total_accuracy:0.03172588720917702, total_samples_cnt:12608
AI-Rank-log 1617000208.6454375 total_accuracy:0.03164556995034218, total_samples_cnt:12640
AI-Rank-log 1617000208.8099062 total_accuracy:0.03156565502285957, total_samples_cnt:12672
AI-Rank-log 1617000208.898377 total_accuracy:0.0314861461520195, total_samples_cnt:12704
AI-Rank-log 1617000209.057971 total_accuracy:0.031407035887241364, total_samples_cnt:12736
AI-Rank-log 1617000209.1430054 total_accuracy:0.03132832050323486, total_samples_cnt:12768
AI-Rank-log 1617000209.325208 total_accuracy:0.03125, total_samples_cnt:12800
AI-Rank-log 1617000209.4138463 total_accuracy:0.031172070652246475, total_samples_cnt:12832
AI-Rank-log 1617000209.5683424 total_accuracy:0.03109452687203884, total_samples_cnt:12864
AI-Rank-log 1617000209.655587 total_accuracy:0.031017368659377098, total_samples_cnt:12896
AI-Rank-log 1617000209.8062096 total_accuracy:0.030940594151616096, total_samples_cnt:12928
AI-Rank-log 1617000209.894389 total_accuracy:0.030864199623465538, total_samples_cnt:12960
AI-Rank-log 1617000210.0583062 total_accuracy:0.030788177624344826, total_samples_cnt:12992
AI-Rank-log 1617000210.1464689 total_accuracy:0.03071253001689911, total_samples_cnt:13024
AI-Rank-log 1617000210.2943366 total_accuracy:0.030637256801128387, total_samples_cnt:13056
AI-Rank-log 1617000210.382728 total_accuracy:0.030562348663806915, total_samples_cnt:13088
AI-Rank-log 1617000210.6407235 total_accuracy:0.030487805604934692, total_samples_cnt:13120
AI-Rank-log 1617000210.7296422 total_accuracy:0.03041362576186657, total_samples_cnt:13152
AI-Rank-log 1617000210.8708847 total_accuracy:0.030339805409312248, total_samples_cnt:13184
AI-Rank-log 1617000210.959156 total_accuracy:0.03026634454727173, total_samples_cnt:13216
AI-Rank-log 1617000211.1458685 total_accuracy:0.030193235725164413, total_samples_cnt:13248
AI-Rank-log 1617000211.2341595 total_accuracy:0.0301204826682806, total_samples_cnt:13280
AI-Rank-log 1617000211.3673992 total_accuracy:0.030048077926039696, total_samples_cnt:13312
AI-Rank-log 1617000211.4555535 total_accuracy:0.029976019635796547, total_samples_cnt:13344
AI-Rank-log 1617000211.6351075 total_accuracy:0.029904305934906006, total_samples_cnt:13376
AI-Rank-log 1617000211.7233603 total_accuracy:0.029832936823368073, total_samples_cnt:13408
AI-Rank-log 1617000212.08975 total_accuracy:0.0297619067132473, total_samples_cnt:13440
AI-Rank-log 1617000212.1775904 total_accuracy:0.029691211879253387, total_samples_cnt:13472
AI-Rank-log 1617000212.3564506 total_accuracy:0.029620854184031487, total_samples_cnt:13504
AI-Rank-log 1617000212.4435492 total_accuracy:0.02955082803964615, total_samples_cnt:13536
AI-Rank-log 1617000212.7010083 total_accuracy:0.029481131583452225, total_samples_cnt:13568
AI-Rank-log 1617000212.8925285 total_accuracy:0.029411762952804565, total_samples_cnt:13600
AI-Rank-log 1617000212.9951682 total_accuracy:0.02934272401034832, total_samples_cnt:13632
AI-Rank-log 1617000213.1523356 total_accuracy:0.029274003580212593, total_samples_cnt:13664
AI-Rank-log 1617000213.255595 total_accuracy:0.029205607250332832, total_samples_cnt:13696
AI-Rank-log 1617000213.419308 total_accuracy:0.02913752943277359, total_samples_cnt:13728
AI-Rank-log 1617000213.5231123 total_accuracy:0.029069766402244568, total_samples_cnt:13760
AI-Rank-log 1617000213.6841567 total_accuracy:0.029002320021390915, total_samples_cnt:13792
AI-Rank-log 1617000213.7881036 total_accuracy:0.028935184702277184, total_samples_cnt:13824
AI-Rank-log 1617000213.9222746 total_accuracy:0.028868360444903374, total_samples_cnt:13856
AI-Rank-log 1617000214.026638 total_accuracy:0.028801843523979187, total_samples_cnt:13888
AI-Rank-log 1617000214.182531 total_accuracy:0.028735632076859474, total_samples_cnt:13920
AI-Rank-log 1617000214.2857718 total_accuracy:0.028669724240899086, total_samples_cnt:13952
AI-Rank-log 1617000214.4446523 total_accuracy:0.028604118153452873, total_samples_cnt:13984
AI-Rank-log 1617000214.598201 total_accuracy:0.028538811951875687, total_samples_cnt:14016
AI-Rank-log 1617000214.6865823 total_accuracy:0.028473805636167526, total_samples_cnt:14048
AI-Rank-log 1617000214.9960032 total_accuracy:0.028409089893102646, total_samples_cnt:14080
AI-Rank-log 1617000215.1744964 total_accuracy:0.028344672173261642, total_samples_cnt:14112
AI-Rank-log 1617000215.2817366 total_accuracy:0.02828054502606392, total_samples_cnt:14144
AI-Rank-log 1617000215.4174016 total_accuracy:0.028216704726219177, total_samples_cnt:14176
AI-Rank-log 1617000215.5229363 total_accuracy:0.028153153136372566, total_samples_cnt:14208
AI-Rank-log 1617000215.7549455 total_accuracy:0.028089888393878937, total_samples_cnt:14240
AI-Rank-log 1617000215.8437288 total_accuracy:0.02802690677344799, total_samples_cnt:14272
AI-Rank-log 1617000216.009298 total_accuracy:0.027964206412434578, total_samples_cnt:14304
AI-Rank-log 1617000216.0974796 total_accuracy:0.0279017873108387, total_samples_cnt:14336
AI-Rank-log 1617000216.226386 total_accuracy:0.027839643880724907, total_samples_cnt:14368
AI-Rank-log 1617000216.3136575 total_accuracy:0.02777777798473835, total_samples_cnt:14400
AI-Rank-log 1617000216.431374 total_accuracy:0.02771618589758873, total_samples_cnt:14432
AI-Rank-log 1617000216.534625 total_accuracy:0.027654867619276047, total_samples_cnt:14464
AI-Rank-log 1617000216.6878374 total_accuracy:0.027593819424510002, total_samples_cnt:14496
AI-Rank-log 1617000216.775674 total_accuracy:0.027533039450645447, total_samples_cnt:14528
AI-Rank-log 1617000216.9530208 total_accuracy:0.02747252956032753, total_samples_cnt:14560
AI-Rank-log 1617000217.0417678 total_accuracy:0.027412280440330505, total_samples_cnt:14592
AI-Rank-log 1617000217.206223 total_accuracy:0.02735229767858982, total_samples_cnt:14624
AI-Rank-log 1617000217.2944233 total_accuracy:0.027292577549815178, total_samples_cnt:14656
AI-Rank-log 1617000217.763641 total_accuracy:0.02723311446607113, total_samples_cnt:14688
AI-Rank-log 1617000217.8517764 total_accuracy:0.027173912152647972, total_samples_cnt:14720
AI-Rank-log 1617000217.9775317 total_accuracy:0.02711496874690056, total_samples_cnt:14752
AI-Rank-log 1617000218.0659816 total_accuracy:0.02705627679824829, total_samples_cnt:14784
AI-Rank-log 1617000218.2792082 total_accuracy:0.026997840031981468, total_samples_cnt:14816
AI-Rank-log 1617000218.4789891 total_accuracy:0.02693965472280979, total_samples_cnt:14848
AI-Rank-log 1617000218.567409 total_accuracy:0.02688172087073326, total_samples_cnt:14880
AI-Rank-log 1617000218.7368274 total_accuracy:0.02682403475046158, total_samples_cnt:14912
AI-Rank-log 1617000218.8400514 total_accuracy:0.026766594499349594, total_samples_cnt:14944
AI-Rank-log 1617000219.220099 total_accuracy:0.026709403842687607, total_samples_cnt:14976
AI-Rank-log 1617000219.3094292 total_accuracy:0.02665245346724987, total_samples_cnt:15008
AI-Rank-log 1617000219.4824572 total_accuracy:0.026595743373036385, total_samples_cnt:15040
AI-Rank-log 1617000219.5710719 total_accuracy:0.033174097537994385, total_samples_cnt:15072
AI-Rank-log 1617000219.7805698 total_accuracy:0.033103812485933304, total_samples_cnt:15104
AI-Rank-log 1617000219.8690286 total_accuracy:0.0330338254570961, total_samples_cnt:15136
AI-Rank-log 1617000220.0498927 total_accuracy:0.032964132726192474, total_samples_cnt:15168
AI-Rank-log 1617000220.1386786 total_accuracy:0.03289473429322243, total_samples_cnt:15200
AI-Rank-log 1617000220.2980177 total_accuracy:0.03282563015818596, total_samples_cnt:15232
AI-Rank-log 1617000220.3865292 total_accuracy:0.03275681287050247, total_samples_cnt:15264
AI-Rank-log 1617000220.559065 total_accuracy:0.03268828243017197, total_samples_cnt:15296
AI-Rank-log 1617000220.6475167 total_accuracy:0.03262004256248474, total_samples_cnt:15328
AI-Rank-log 1617000220.798319 total_accuracy:0.0325520858168602, total_samples_cnt:15360
AI-Rank-log 1617000220.8868752 total_accuracy:0.03248440846800804, total_samples_cnt:15392
AI-Rank-log 1617000221.0726283 total_accuracy:0.03241701424121857, total_samples_cnt:15424
AI-Rank-log 1617000221.1611607 total_accuracy:0.03234989568591118, total_samples_cnt:15456
AI-Rank-log 1617000221.3346512 total_accuracy:0.032283056527376175, total_samples_cnt:15488
AI-Rank-log 1617000221.4231908 total_accuracy:0.032216496765613556, total_samples_cnt:15520
AI-Rank-log 1617000221.5976045 total_accuracy:0.032150205224752426, total_samples_cnt:15552
AI-Rank-log 1617000221.6858225 total_accuracy:0.03208418935537338, total_samples_cnt:15584
AI-Rank-log 1617000221.8419583 total_accuracy:0.03201844170689583, total_samples_cnt:15616
AI-Rank-log 1617000221.9300435 total_accuracy:0.03195296600461006, total_samples_cnt:15648
AI-Rank-log 1617000222.3042097 total_accuracy:0.031887754797935486, total_samples_cnt:15680
AI-Rank-log 1617000222.39372 total_accuracy:0.0318228118121624, total_samples_cnt:15712
AI-Rank-log 1617000222.5480077 total_accuracy:0.031758129596710205, total_samples_cnt:15744
AI-Rank-log 1617000222.6366758 total_accuracy:0.0316937118768692, total_samples_cnt:15776
AI-Rank-log 1617000222.7751207 total_accuracy:0.03162955492734909, total_samples_cnt:15808
AI-Rank-log 1617000222.863303 total_accuracy:0.03156565874814987, total_samples_cnt:15840
AI-Rank-log 1617000223.0784955 total_accuracy:0.03150201588869095, total_samples_cnt:15872
AI-Rank-log 1617000223.1669261 total_accuracy:0.03143863007426262, total_samples_cnt:15904
AI-Rank-log 1617000223.3618765 total_accuracy:0.03137550130486488, total_samples_cnt:15936
AI-Rank-log 1617000223.4498677 total_accuracy:0.03131262585520744, total_samples_cnt:15968
AI-Rank-log 1617000223.6168787 total_accuracy:0.03125, total_samples_cnt:16000
AI-Rank-log 1617000223.7055366 total_accuracy:0.031187625601887703, total_samples_cnt:16032
AI-Rank-log 1617000223.855472 total_accuracy:0.031125498935580254, total_samples_cnt:16064
AI-Rank-log 1617000223.9433959 total_accuracy:0.031063616275787354, total_samples_cnt:16096
AI-Rank-log 1617000224.1095722 total_accuracy:0.0310019850730896, total_samples_cnt:16128
AI-Rank-log 1617000224.197856 total_accuracy:0.030940594151616096, total_samples_cnt:16160
AI-Rank-log 1617000224.341761 total_accuracy:0.030879447236657143, total_samples_cnt:16192
AI-Rank-log 1617000224.430585 total_accuracy:0.03081854060292244, total_samples_cnt:16224
AI-Rank-log 1617000224.609648 total_accuracy:0.030757874250411987, total_samples_cnt:16256
AI-Rank-log 1617000224.6976523 total_accuracy:0.030697446316480637, total_samples_cnt:16288
AI-Rank-log 1617000224.9083564 total_accuracy:0.030637256801128387, total_samples_cnt:16320
AI-Rank-log 1617000224.9973874 total_accuracy:0.030577298253774643, total_samples_cnt:16352
AI-Rank-log 1617000225.1817322 total_accuracy:0.030517578125, total_samples_cnt:16384
AI-Rank-log 1617000225.2700725 total_accuracy:0.03045808896422386, total_samples_cnt:16416
AI-Rank-log 1617000225.8947048 total_accuracy:0.030398832634091377, total_samples_cnt:16448
AI-Rank-log 1617000225.9838881 total_accuracy:0.030339807271957397, total_samples_cnt:16480
AI-Rank-log 1617000226.1462507 total_accuracy:0.030281007289886475, total_samples_cnt:16512
AI-Rank-log 1617000226.2342913 total_accuracy:0.030222438275814056, total_samples_cnt:16544
AI-Rank-log 1617000226.4082093 total_accuracy:0.030164092779159546, total_samples_cnt:16576
AI-Rank-log 1617000226.496798 total_accuracy:0.030105972662568092, total_samples_cnt:16608
AI-Rank-log 1617000226.6586735 total_accuracy:0.030048076063394547, total_samples_cnt:16640
AI-Rank-log 1617000226.7469997 total_accuracy:0.02999040298163891, total_samples_cnt:16672
AI-Rank-log 1617000226.9511693 total_accuracy:0.02993294969201088, total_samples_cnt:16704
AI-Rank-log 1617000227.0394356 total_accuracy:0.02987571619451046, total_samples_cnt:16736
AI-Rank-log 1617000227.1748252 total_accuracy:0.02981870248913765, total_samples_cnt:16768
AI-Rank-log 1617000227.2635868 total_accuracy:0.02976190485060215, total_samples_cnt:16800
AI-Rank-log 1617000227.4577928 total_accuracy:0.02970532327890396, total_samples_cnt:16832
AI-Rank-log 1617000227.5458815 total_accuracy:0.029648955911397934, total_samples_cnt:16864
AI-Rank-log 1617000227.7045453 total_accuracy:0.029592804610729218, total_samples_cnt:16896
AI-Rank-log 1617000227.7929273 total_accuracy:0.029536861926317215, total_samples_cnt:16928
AI-Rank-log 1617000227.9511876 total_accuracy:0.029481131583452225, total_samples_cnt:16960
AI-Rank-log 1617000228.0400271 total_accuracy:0.029425611719489098, total_samples_cnt:16992
AI-Rank-log 1617000228.1991887 total_accuracy:0.029370302334427834, total_samples_cnt:17024
AI-Rank-log 1617000228.2868586 total_accuracy:0.029315197840332985, total_samples_cnt:17056
AI-Rank-log 1617000228.4545836 total_accuracy:0.0292603000998497, total_samples_cnt:17088
AI-Rank-log 1617000228.5439155 total_accuracy:0.02920560911297798, total_samples_cnt:17120
AI-Rank-log 1617000228.7054162 total_accuracy:0.02915111929178238, total_samples_cnt:17152
AI-Rank-log 1617000228.7934024 total_accuracy:0.029096834361553192, total_samples_cnt:17184
AI-Rank-log 1617000228.9630034 total_accuracy:0.029042750597000122, total_samples_cnt:17216
AI-Rank-log 1617000229.051869 total_accuracy:0.02898886799812317, total_samples_cnt:17248
AI-Rank-log 1617000229.214582 total_accuracy:0.028935184702277184, total_samples_cnt:17280
AI-Rank-log 1617000229.3032289 total_accuracy:0.028881700709462166, total_samples_cnt:17312
AI-Rank-log 1617000229.4858642 total_accuracy:0.028828414157032967, total_samples_cnt:17344
AI-Rank-log 1617000229.574874 total_accuracy:0.028775323182344437, total_samples_cnt:17376
AI-Rank-log 1617000229.7387912 total_accuracy:0.028722425922751427, total_samples_cnt:17408
AI-Rank-log 1617000229.8275647 total_accuracy:0.028669724240899086, total_samples_cnt:17440
AI-Rank-log 1617000229.999594 total_accuracy:0.028617216274142265, total_samples_cnt:17472
AI-Rank-log 1617000230.0878313 total_accuracy:0.028564900159835815, total_samples_cnt:17504
AI-Rank-log 1617000230.2483554 total_accuracy:0.028512774035334587, total_samples_cnt:17536
AI-Rank-log 1617000230.3364406 total_accuracy:0.02846083790063858, total_samples_cnt:17568
AI-Rank-log 1617000230.494025 total_accuracy:0.028409091755747795, total_samples_cnt:17600
AI-Rank-log 1617000230.5827503 total_accuracy:0.028357531875371933, total_samples_cnt:17632
AI-Rank-log 1617000230.751446 total_accuracy:0.028306160122156143, total_samples_cnt:17664
AI-Rank-log 1617000230.8395872 total_accuracy:0.028254972770810127, total_samples_cnt:17696
AI-Rank-log 1617000231.013525 total_accuracy:0.028203971683979034, total_samples_cnt:17728
AI-Rank-log 1617000231.1019073 total_accuracy:0.028153153136372566, total_samples_cnt:17760
AI-Rank-log 1617000231.2896335 total_accuracy:0.028102518990635872, total_samples_cnt:17792
AI-Rank-log 1617000231.3782141 total_accuracy:0.028052065521478653, total_samples_cnt:17824
AI-Rank-log 1617000231.5108273 total_accuracy:0.02800179272890091, total_samples_cnt:17856
AI-Rank-log 1617000231.5988524 total_accuracy:0.027951698750257492, total_samples_cnt:17888
AI-Rank-log 1617000231.7278695 total_accuracy:0.02790178544819355, total_samples_cnt:17920
AI-Rank-log 1617000231.8410394 total_accuracy:0.027852049097418785, total_samples_cnt:17952
AI-Rank-log 1617000231.9584143 total_accuracy:0.027802491560578346, total_samples_cnt:17984
AI-Rank-log 1617000232.062025 total_accuracy:0.027753109112381935, total_samples_cnt:18016
AI-Rank-log 1617000232.2605379 total_accuracy:0.027703899890184402, total_samples_cnt:18048
AI-Rank-log 1617000232.349636 total_accuracy:0.027654867619276047, total_samples_cnt:18080
AI-Rank-log 1617000232.4708073 total_accuracy:0.02760600671172142, total_samples_cnt:18112
AI-Rank-log 1617000232.5758567 total_accuracy:0.027557319030165672, total_samples_cnt:18144
AI-Rank-log 1617000232.7485514 total_accuracy:0.027508802711963654, total_samples_cnt:18176
AI-Rank-log 1617000232.8763726 total_accuracy:0.027460457757115364, total_samples_cnt:18208
AI-Rank-log 1617000233.0173767 total_accuracy:0.027412280440330505, total_samples_cnt:18240
AI-Rank-log 1617000233.120663 total_accuracy:0.027364272624254227, total_samples_cnt:18272
AI-Rank-log 1617000233.2236261 total_accuracy:0.02731643244624138, total_samples_cnt:18304
AI-Rank-log 1617000233.3299065 total_accuracy:0.02726876176893711, total_samples_cnt:18336
AI-Rank-log 1617000233.4327 total_accuracy:0.027221255004405975, total_samples_cnt:18368
AI-Rank-log 1617000233.7297866 total_accuracy:0.02717391401529312, total_samples_cnt:18400
AI-Rank-log 1617000233.818109 total_accuracy:0.0271267369389534, total_samples_cnt:18432
AI-Rank-log 1617000233.9529357 total_accuracy:0.02707972191274166, total_samples_cnt:18464
AI-Rank-log 1617000234.0417562 total_accuracy:0.027032872661948204, total_samples_cnt:18496
AI-Rank-log 1617000234.2275665 total_accuracy:0.02698618359863758, total_samples_cnt:18528
AI-Rank-log 1617000234.3159235 total_accuracy:0.02693965472280979, total_samples_cnt:18560
AI-Rank-log 1617000234.4438515 total_accuracy:0.026893287897109985, total_samples_cnt:18592
AI-Rank-log 1617000234.5318482 total_accuracy:0.026847079396247864, total_samples_cnt:18624
AI-Rank-log 1617000234.728963 total_accuracy:0.026801029220223427, total_samples_cnt:18656
AI-Rank-log 1617000234.8172376 total_accuracy:0.026755137369036674, total_samples_cnt:18688
AI-Rank-log 1617000235.1472297 total_accuracy:0.026709401980042458, total_samples_cnt:18720
AI-Rank-log 1617000235.235801 total_accuracy:0.026663821190595627, total_samples_cnt:18752
AI-Rank-log 1617000235.4146328 total_accuracy:0.02661839872598648, total_samples_cnt:18784
AI-Rank-log 1617000235.502721 total_accuracy:0.02657312899827957, total_samples_cnt:18816
AI-Rank-log 1617000235.6611085 total_accuracy:0.02652801387012005, total_samples_cnt:18848
AI-Rank-log 1617000235.8611095 total_accuracy:0.026483049616217613, total_samples_cnt:18880
AI-Rank-log 1617000235.9652593 total_accuracy:0.026438239961862564, total_samples_cnt:18912
AI-Rank-log 1617000236.1136913 total_accuracy:0.026393581181764603, total_samples_cnt:18944
AI-Rank-log 1617000236.2352116 total_accuracy:0.02634907327592373, total_samples_cnt:18976
AI-Rank-log 1617000236.6862235 total_accuracy:0.026304712519049644, total_samples_cnt:19008
AI-Rank-log 1617000236.7748575 total_accuracy:0.026260504499077797, total_samples_cnt:19040
AI-Rank-log 1617000237.133848 total_accuracy:0.02621644362807274, total_samples_cnt:19072
AI-Rank-log 1617000237.222829 total_accuracy:0.02617252990603447, total_samples_cnt:19104
AI-Rank-log 1617000237.4252155 total_accuracy:0.02612876147031784, total_samples_cnt:19136
AI-Rank-log 1617000237.5137122 total_accuracy:0.02608514204621315, total_samples_cnt:19168
AI-Rank-log 1617000237.6357954 total_accuracy:0.0260416679084301, total_samples_cnt:19200
AI-Rank-log 1617000237.724674 total_accuracy:0.02599833533167839, total_samples_cnt:19232
AI-Rank-log 1617000238.031326 total_accuracy:0.02595514804124832, total_samples_cnt:19264
AI-Rank-log 1617000238.232592 total_accuracy:0.025912106037139893, total_samples_cnt:19296
AI-Rank-log 1617000238.336557 total_accuracy:0.025869205594062805, total_samples_cnt:19328
AI-Rank-log 1617000238.4782474 total_accuracy:0.02582644671201706, total_samples_cnt:19360
AI-Rank-log 1617000238.5817401 total_accuracy:0.025783829391002655, total_samples_cnt:19392
AI-Rank-log 1617000238.7200918 total_accuracy:0.025741349905729294, total_samples_cnt:19424
AI-Rank-log 1617000238.8252964 total_accuracy:0.025699013844132423, total_samples_cnt:19456
AI-Rank-log 1617000239.003808 total_accuracy:0.025656813755631447, total_samples_cnt:19488
AI-Rank-log 1617000239.1074562 total_accuracy:0.025614753365516663, total_samples_cnt:19520
AI-Rank-log 1617000239.269916 total_accuracy:0.02557283267378807, total_samples_cnt:19552
AI-Rank-log 1617000239.3746045 total_accuracy:0.025531046092510223, total_samples_cnt:19584
AI-Rank-log 1617000239.593738 total_accuracy:0.02548939734697342, total_samples_cnt:19616
AI-Rank-log 1617000239.755655 total_accuracy:0.02544788271188736, total_samples_cnt:19648
AI-Rank-log 1617000239.875623 total_accuracy:0.025406504049897194, total_samples_cnt:19680
AI-Rank-log 1617000240.0204413 total_accuracy:0.025365259498357773, total_samples_cnt:19712
AI-Rank-log 1617000240.1261523 total_accuracy:0.025324149057269096, total_samples_cnt:19744
AI-Rank-log 1617000240.2688444 total_accuracy:0.025283172726631165, total_samples_cnt:19776
AI-Rank-log 1617000240.375493 total_accuracy:0.02524232678115368, total_samples_cnt:19808
AI-Rank-log 1617000240.5365553 total_accuracy:0.02520161308348179, total_samples_cnt:19840
AI-Rank-log 1617000240.641497 total_accuracy:0.025161031633615494, total_samples_cnt:19872
